Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
21500281,POR,85,41,221.7339077,IND,88,18,326.607013
21500283,NYK,87,87,316.2851292,BKN,91,91,326.1307094
21500284,WAS,82,82,281.7114732,PHX,84,83,307.0240763
21500285,DET,82,58,246.6115196,MIL,87,60,259.7772083
21500286,ATL,74,1,821.7337538,LAL,86,1,172.3496377
21500287,DAL,81,0,,HOU,84,0,
21500288,NOP,85,4,350.2287821,CLE,89,8,226.9272498
21500289,PHI,74,74,373.3541463,DEN,81,80,362.7130683
21500290,TOR,91,59,235.6547073,GSW,73,40,210.998846
21500291,MIA,68,37,244.1501953,CLE,85,38,229.7752263
21500292,CHI,89,6,176.7019816,CHA,89,6,567.4967915
21500293,HOU,78,4,342.4223936,SAC,98,0,
21500294,MIN,83,6,189.9408967,POR,77,6,232.3415445
21500295,MIL,89,12,165.6844205,NYK,76,11,177.2749177
21500296,SAS,83,6,398.3116971,BOS,86,2,384.6553556
21500297,UTA,92,75,219.8351643,IND,93,70,233.1060517
21500298,LAC,82,39,221.7729491,ORL,90,33,205.1125015
21500299,MEM,90,90,230.5016196,PHX,82,82,277.9112532
21500300,BKN,89,27,194.3710046,GSW,86,18,222.7584467
21500301,DET,93,93,292.7683585,LAL,80,80,267.1512312
21500302,WAS,89,89,294.5478113,DAL,76,74,313.7120948
21500303,OKC,86,86,270.4109583,SAC,88,87,275.352325
21500304,CHA,84,84,268.3989675,DET,87,87,251.8955698
21500305,PHI,75,71,221.842017,SAS,76,74,234.4120853
21500306,MIA,69,69,303.6513497,WAS,92,92,284.4637525
21500307,NYK,84,84,284.1727022,DAL,82,82,291.401629
21500308,TOR,74,74,239.3102338,LAL,83,82,218.2000607
21500309,CHI,90,78,234.6985267,PHX,92,78,263.5266154
21500310,MIL,73,61,195.4783639,POR,85,81,226.8555398
21500311,MIN,82,81,286.7277807,LAC,86,83,271.8205577
21500312,NOP,90,90,240.9624555,BOS,81,80,262.8231718
21500313,CLE,79,68,243.6480036,POR,79,69,278.0355153
21500314,IND,100,89,243.4355649,GSW,95,86,281.6221362
21500315,BKN,81,80,340.4771628,HOU,82,82,299.5392107
21500316,MEM,81,81,216.6849367,OKC,84,83,276.3223493
21500317,DEN,84,83,266.70403,ORL,88,88,221.6880425
21500318,SAC,77,73,251.7056975,UTA,92,92,225.7820758
21500319,BOS,92,90,258.4846979,CHI,91,90,265.3049593
21500320,CHA,81,81,285.1955497,MIA,75,74,239.352935
21500321,WAS,89,89,306.8833044,HOU,83,82,323.0667803
21500322,DET,87,87,264.2177822,MEM,88,88,235.2736051
21500323,TOR,64,63,258.7482796,SAS,76,74,227.7346639
21500324,MIL,90,50,187.496831,LAC,81,36,231.030734
21500325,MIN,93,80,210.0414474,LAL,93,89,270.5366474
21500326,PHX,80,70,246.2563274,ORL,85,73,201.7291218
21500327,UTA,80,80,239.5541871,NYK,78,78,237.8568756
21500328,DAL,100,0,,ATL,81,0,
21500329,BKN,74,70,275.0697567,PHI,87,87,287.3644196
21500330,CHI,87,72,199.1825096,LAC,88,61,252.6190777
21500331,OKC,80,80,296.0700298,ATL,78,78,300.5215352
21500332,SAC,93,78,243.7218795,NYK,83,76,226.126295
21500333,IND,86,44,257.1554437,MIA,81,45,208.9157258
21500334,ORL,72,15,225.0140208,CLE,72,11,291.7976326
21500335,PHI,80,6,303.5081595,DET,93,5,326.9140116
21500336,BOS,114,114,281.6350992,GSW,107,107,281.9417831
21500337,TOR,70,43,210.580155,MIL,80,51,158.3063129
21500338,MEM,80,75,199.0158606,CHA,78,73,268.927661
21500339,NOP,79,51,201.3910471,WAS,80,58,208.5996472
21500340,DEN,86,73,277.0276788,MIN,87,78,225.7304821
21500341,UTA,78,76,231.3655855,OKC,79,77,239.0912534
21500342,SAS,82,82,250.431747,LAL,88,88,259.5414273
21500343,PHX,83,36,194.0428636,POR,96,47,234.9901245
21500344,BKN,79,74,223.7540432,LAC,86,79,236.6543559
21500345,CHA,88,87,246.1281612,BOS,96,96,234.3098245
21500346,DET,90,80,251.7963764,IND,82,78,275.7642004
21500347,ATL,80,0,,SAS,74,2,155.1660663
21500348,CHI,78,49,217.2148386,NOP,89,56,267.3431059
21500349,HOU,90,79,267.8718166,LAL,88,70,279.6864725
21500350,DAL,89,17,204.3038394,WAS,85,26,220.5258218
21500351,MIL,90,14,277.4052216,GSW,89,12,213.5320345
21500352,POR,89,65,245.703578,NYK,75,64,197.1927819
21500353,PHX,87,23,225.43541,MIN,73,13,194.6105337
21500354,MIA,77,73,230.8333412,MEM,77,65,219.8803095
21500355,TOR,78,78,271.7477645,PHI,84,84,251.9739298
21500356,OKC,79,53,321.6531307,UTA,94,65,276.0347739
21500357,IND,86,12,266.4095043,TOR,79,9,198.6732822
21500358,BKN,80,63,193.2747017,ORL,76,62,230.2363448
21500359,DET,89,78,247.5597061,LAC,97,88,263.4314617
21500360,ATL,84,81,232.0049097,MIA,89,88,252.0461789
21500361,CHI,85,35,212.9572081,PHI,92,51,231.5696434
21500362,MEM,78,61,221.2446792,WAS,86,51,207.8271474
21500363,DAL,77,70,218.5147761,PHX,80,61,210.11108
21500364,SAS,75,71,241.9606048,UTA,79,74,246.0063851
21500365,DEN,82,60,306.8264247,HOU,87,49,242.5775878
21500366,POR,81,52,224.7775554,NOP,82,41,191.9740426
21500367,BOS,87,86,244.7520711,CLE,78,77,253.3021234
21500368,MIN,77,16,211.3682244,DEN,73,24,258.4763671
21500369,SAC,75,39,327.8185011,HOU,82,29,392.2521865
21500370,LAL,89,48,257.2346754,MIL,85,34,275.6674986
21500371,IND,89,4,223.6317983,DAL,90,2,210.7076178
21500372,ORL,77,0,,CHA,79,0,
21500373,BKN,89,62,189.4394105,MIA,75,62,224.2767136
21500374,DET,78,62,243.9769974,BOS,89,83,255.5235029
21500375,NYK,85,85,297.8010206,MIN,101,101,316.0043276
21500376,ATL,78,69,282.4412269,PHI,75,65,238.316847
21500377,CHI,86,61,204.6365523,MEM,76,56,196.595569
